,text,embeddings,distances
3,"The confirmed death toll in Turkey was 53,537; estimates of the number of dead in Syria were between 5,951 and 8,476. It is the deadliest earthquake in what is now present-day Turkey since the 526 Antioch earthquake and the deadliest natural disaster in its modern history. It is also the deadliest in present-day Syria since the 1822 Aleppo earthquake; the deadliest worldwide since the 2010 Haiti earthquake; and the fifth-deadliest of the 21st century. Damages were estimated at US$148.8 billion in Turkey, or nine-percent of the country's GDP, and US$14.8 billion in Syria.","[ 0.00134106 -0.02500695 -0.01328005 ...  0.00903826 -0.01596216
 -0.01106127]",0.09015876664288869
0,"On 6 February 2023, at 04:17 TRT (01:17 UTC), a Mw 7.8 earthquake struck southern and central Turkey and northern and western Syria. The epicenter was 37 km (23 mi) west–northwest of Gaziantep. The earthquake had a maximum Mercalli intensity of XII (Extreme) around the epicenter and in Antakya. It was followed by a Mw 7.7 earthquake at 13:24. This earthquake was centered 95 km (59 mi) north-northeast from the first. There was widespread damage and tens of thousands of fatalities.","[-0.00792725 -0.01488955 -0.01365658 ... -0.00532392  0.00798756
 -0.0255843 ]",0.11693432492644662
88,"Immediately after the earthquakes the Turkish lira value struck a record low of 18.85 against the US dollar, but rebounded to its starting position at the end of the day. Turkish stock markets fell; main equities benchmark fell as much as 5 percent and banks fell 5.5 percent but recovered from the losses. The country's main stock market dropped 1.35 percent on 6 February. The Borsa Istanbul fell 8.6 percent on 7 February, and declined by more than 7 percent on the morning of 8 February before trading was suspended; the exchange then announced it would close for five days. When the exchange reopened, Turkey's stock soared nearly 10 percent while the lira fell to a record low of 18.9010 against the dollar. Total cost of earthquake damage in Turkey was estimated by TÜRKONFED at $84.1 billion US dollars; $70.75 billion on rebuilding, $10.4 billion loss in national income, and an additional $2.91 billion loss in workforce. Turkish president Recep Tayyip Erdogan said rebuilding would cost $105 billion. The European Bank for Reconstruction and Development said potential losses may be up to 1 percent of Turkey's GDP in 2023. The Turkish government released a preliminary report estimating the total damage cost at $103.6 billion; corresponding to 9 percent of its GDP in 2023. About half of residential property in the affected area is thought to be covered by Compulsory Earthquake Insurance.","[-0.0144761  -0.02395907 -0.00486731 ...  0.01211198 -0.00985381
 -0.03213085]",0.12200697686766704
145,"The Turkish Government was criticized on social media for allegedly trying to cover up the fact that there were not two, but three mainshocks above Mw 7. However, professor Hasan Sözbilir, Director of Dokuz Eylül University (DEU) Earthquake Research and Application Center, told Anadolu Agency that there were only 2 mainshocks reaching above Mw 7 between 6 and 17 February 2023, but of the smaller quakes, there was one that reached Mw 6.7. Additional allegations were made when the death toll in Turkey was at 41,000, could in fact be up to five times higher. The Justice and Development Party (AKP) government was accused of manipulating the death toll of the earthquakes to mask the scale of the disaster amid growing criticism due to what many say was a delayed and ineffective response to the tragedy.","[-0.00442697  0.00012691 -0.00424572 ... -0.000365    0.00184429
 -0.02084936]",0.12282394341749725
184,"Mahase, Elisabeth (7 February 2023). ""Death toll rises after two earthquakes hit Turkey and Syria in 12 hours"" (PDF). BMJ. 380 (380): 304. doi:10.1136/bmj.p304. PMID 36750243. S2CID 256630400.","[-0.01114416 -0.0232568  -0.0060126  ...  0.00168726 -0.00539722
 -0.03163677]",0.12380628793536264
87,"Risklayer estimated a death toll of between 23,284 and 105,671. According to geophysics professor, Övgün Ahmet Ercan, ""180,000 people or more may be trapped under the rubble, nearly all of them dead."" On 11 February, when the death toll was reported at about 28,000, United Nations emergency relief coordinator Martin Griffiths said the death toll was expected to ""more than double"". The World Health Organization said up to 26 million people may have been affected; 15 million in Turkey and 11 million in Syria.","[-0.00453863 -0.01398196 -0.00630095 ... -0.00079572 -0.01424112
 -0.02210679]",0.1273745970907747
2,"There was widespread damage in an area of about 350,000 km2 (140,000 sq mi), about the size of Germany. An estimated 14 million people, or 16 percent of Turkey's population, were affected. Development experts from the United Nations estimated that about 1.5 million people were left homeless.","[-0.00015062 -0.01705606  0.00089752 ...  0.00521903 -0.00994617
 -0.02703417]",0.12752633095403232
192,"Zhe Jia et al., The complex dynamics of the 2023 Kahramanmaraş, Turkey, Mw 7.8-7.7 earthquake doublet.Science doi:10.1126/science.adi0685","[-0.01192775 -0.00932583  0.00398505 ...  0.00973666 -0.00273373
 -0.02444436]",0.12936165400688038
180,List of earthquakes in Turkey,"[-0.01206418 -0.01910496 -0.00197897 ...  0.00882435  0.00901807
 -0.03762207]",0.13036042218405086
36,"There were 53,537 deaths and 107,213 injured across 11 of the 17 affected provinces of Turkey. About 140 people remain missing; 118 in Hatay Province. At least 15.73 million people and 4 million buildings were affected. More than 2 million residents in the affected provinces were evacuated to nearby provinces including Mersin, Antalya, Mardin, Niğde and Konya. At least 518,009 houses and over 345,000 apartments were destroyed. More than 20 percent of Turkey's agriculture production was affected. The United Nations said crops, livestock, fisheries, aquaculture and rural infrastructure were heavily damaged. At least 516 university buildings were affected, of which 106 were heavily damaged.","[-0.00891427 -0.03638531 -0.00262194 ...  0.00235861 -0.01724336
 -0.02370637]",0.13099906519119142
