index,text
0,iX xDrive50 Performance and Efficiency: Dual all-electric motors with a total power output of 516-hp and 564 lb-ft of torqueMultiple energy recuperation modes including a sensor enabled real-time adaptive mode and pure one-pedal drive mode111.5 kWh high-voltage lithium-ion battery pack with advanced active thermal management systemFlexible Fast Charger cable with 110V/220V capability
1,"iX xDrive50 Handling, Ride and Braking: xDrive dual-motor all-wheel-drive with ARB-X acceleration slip controlHigh-performance lightweight Integrated Brake system with ABS, Cornering and Dynamic Brake Control, Brake Drying, Drive-off Assistant, and Automatic HoldDouble-wishbone front axle, five-link rear axle, lift-related dampers and an electric steering system with Servotronic function and a variable ratio"
2,"iX xDrive50 Exterior: Aluminum Spaceframe with Carbon Core technology including exposed Carbon-Fiber Reinforced Plastic side frame and rearShy Tech features including self-healing Intelligence Panel kidney grille, functional badges for washer fluid and rear view camera, and camera lens washing systemsEfficiency optimized aerodynamic body, wheels, and undercarriage20"" Aero Frozen Dark Grey Wheels, style 1002 with all-season non run-flat tires"
3,iX xDrive50 Interior Trim: Perforated Sensatec UpholsteryGold bronze trim accentsUpholstered instrument panel with stitchingFloating center consoleAnthracite HeadlinerFloormats
4,"iX xDrive50 Connectivity: Connected Package Professional features Real-Time Traffic Information and On-Street Parking Information (select cities), BMW Connected Music, Weather, Connected navigation, and Hazard Preview. The Intelligent Personal Assistant voice control offers natural speech input for various functions, including navigationEnhanced Roadside Assistance including BMW TeleServicesBMW Remote Services including My BMW App, Remote Door Unlock, MyInfo, Stolen Vehicle Recovery, Remote Lights Flash / Horn Blow, and Remote ClimateWireless device chargingBluetooth® wireless technology and Dual front USB-C and two rear USB-C power delivery socketsConnected eDrive ServicesRemote Software Upgrade capableApple CarPlay® and Android Auto™ CompatibilityPersonal eSIM 5G"
5,iX xDrive50 Audio System: SiriusXM® with 360L + 1 year Platinum Plan SubscriptionHiFi Sound System with 205-watt digital amplifier and 12 speakers
6,"iX xDrive50 Instrumentation and Controls: Multi-function hexagonal steering wheelMy Modes offers multiple vehicle experiences including Sport, Efficient, and Personal to tailor the driving experienceTire Pressure MonitorDynamic Cruise ControlBMW Curved Display with configurable 12.3"" instrument cluster and 14.9"" central information displayBMW Operating System 8.5 operated by voice, touchscreen or iDrive touchpad controllerCloud-based navigation system and multiple Over-the-Air (OTA) updates for map data"
7,"iX xDrive50 Comfort and Convenience: Parking Assistant and Back-up AssistantActive Park Distance ControlMulti-color, adjustable ambient lightingPower tailgateUniversal garage-door openerComfort Access with Smart Access 2.0 Ultra wideband (UWB) technology for keyfob and smartphonesDigital Key PlusThermally insulated windshieldPanoramic Eclipsing Sky Lounge roofAutomatic 4-zone climate control with preconditioningAutomatic-dimming interior rear-view mirror and driver's-side exterior mirrorPower front windows with ""one-touch"" up/down operation12V power socket in center console40/20/40 split-folding rear seatsInfrared windshieldStorage compartment packagePower adjustable front seats and steering wheelEmergency trunk releasePrivacy glassHeated Steering WheelNatural Interaction3-stage heated front seats"
8,"iX xDrive50 Safety and Security: Mobility kitAnti-theft alarm systemRear-view CameraAcoustic pedestrian protectionPark Distance Control, front and rearAutomatic high beamsActive Protection System  detects imminent accidents, then prepares by automatically pretensioning safety belts, closing windows and moonroof, and activating post-crash braking; includes Fatigue and Focus Alert featureActive Driving Assistant includes Frontal Collision Warning, Active Blind Spot Detection, Lane Departure Warning, and Speed Limit InfoBMW Assist eCall™ includes Emergency Request (SOS button) and Enhanced Automatic Collision NotificationProgrammable LED Daytime Running LightsSafe Exit - detects approaching vehicles and cyclists to warn driver and passengers about a collision risk when opening the doors. Visual warning via ambient lights and mirror LEDsRedundant mechanical interior door leversRedundant rear tail lamps inside trunk lidAcoustic safety-belt warning"
9,"iX xDrive50 Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2025 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
10,"iX xDrive50 Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2025 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
11,"iX xDrive50 Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2025 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
12,"iX xDrive50 Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2025 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
13,"iX xDrive50 Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2025 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
14,"iX xDrive50 Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2025 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
15,"iX xDrive50 Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2025 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
16,"iX xDrive50 Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2025 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
17,i7 M70 Sedan Performance and Efficiency: Dual All-electric motors with 650hp and 749 lb-ft of torqueElectronic throttle controlAir Curtains and Air Breather systemActive kidney grilleBrake Energy RegenerationAC Charging up to 11 kW (J1772)DC Fast Charging capability up to 195 kW (SAE Combo)Flexible Fast Charging Cable with 110V/220V capability105.6 kWh high-voltage lithium-ion battery pack with advanced active thermal management system
18,"i7 M70 Sedan Handling, Ride and Braking: 4-wheel ventilated disc brakes with Anti-lock Braking System (ABS), composite front rotors and Dynamic Brake Control (DBC), brake-pad wear indicators and Cornering Brake Control (CBC)Dynamic Stability Control (DSC), including Brake Fade Compensation, Brake Drying, and Brake Stand-by features; with Dynamic Traction Control (DTC)Dynamic Damper ControlIntegral Active Steering with rear-axle steeringAluminum front and rear subframesTwin-tube gas-pressure shock absorbersServotronic power-steering assistElectric Power SteeringElectromechanical parking brakexDrive all-wheel-drive systemAdaptive 2 axle air suspensionActive Comfort Drive with Road Preview"
19,"i7 M70 Sedan Exterior: 21"" M Aerodynamic bi-color wheels, style 909 with non-run flat performance tiresPower-folding, heated side mirrorsShadowline exterior trimNon-metallic paint"
20,"i7 M70 Sedan Interior Trim: Extended Merino Leather upholsteryBlack panel center console with brushed aluminum, touch-sensitive controlsAnthracite HeadlinerFloormatsFineline Black Trim with Metallic Inlay and M Stripes"
21,"i7 M70 Sedan Connectivity: Remote Software Upgrade CapableBMW ConnectedDrive® ServicesConnected Package Professional features Real-Time Traffic Information and On-Street Parking Information (select cities), Hazard Preview, BMW Remote Services including Stolen Vehicle Recovery, Remote Door Unlock, My BMW App, and Concierge Services. The Intelligent Personal Assistant voice control offers natural speech input for various functions, including navigationApple CarPlay® and Android Auto™ CompatibilityPersonal eSIM 5GWireless Device ChargingBMW TeleServicesEnhanced USB & Bluetooth® wireless technology, additional microphone and ability for simultaneous device pairing"
22,i7 M70 Sedan Audio System: Bowers and Wilkins Surround Sound SystemSiriusXM® with 360L + 1 year Platinum Plan Subscription
